Customer ID*,Customer Name*,Street,Housenumber,City,ZIP,Existing customer,Number of employees,Revenue,URL,e-mail,mobile,Telefone,Heading*,Heading ID*,Keyword (1 main keyword),Year/month founded (entrepreneur),Short Crypted
7,Bernie - Das Wirtshaus,Hauptstr,66,Draßmarkt,7372,,2,,http://www.bernie.at,wirtshaus@bernie.at,,026172238,Gasthäuser u Gasthöfe,1352,Gasthaus,,65XHQ
13,Pfneiszl - Bau GmbH - Zimmerei,Zeilg,21,Draßmarkt,7372,,20,1700000,http://www.pfneiszl-bau.at,office@pfneiszl-bau.at,,026172231,Zimmereien,4400,Zimmerei,,BRRgn
14,Raiffeisenbank Draßmarkt-Kobersdorf-St. Martin regGenmbH,Hauptstr,29,Draßmarkt,7372,,27,3348186.66,http://www.raiffeisen.at/drassmarkt,info.33014@raiffeisen-burgenland.at,,026172251,Banken u Sparkassen,332,Banken,,CB6Zr
17,Geflügelhof Anton Schlögl GesmbH,Stoob-Süd Konsumstr,2,Stoob,7350,,,,http://www.schloegl-ei.at,office@schloegl-ei.at,,0261245801,Geflügelzucht u Geflügelzuchtbedarf,1366,Geflügelaufzucht,,FM4H3
21,"Werkovits Frischeier, Inh. Johann Werkovits",Hauptstr,7,Draßmarkt,7372,,,70000,http://www.werkovits-nudeln.at,office@werkovits-nudeln.at,,026172216,Teigwaren,3857,Teigprodukte,,JGfsH
23,Mittermann Edelserpentinschleiferei - Inh Wagenhofer Sabine,Nr.,50,Dreihütten,7434,,1,225000,http://www.mittermann.at,edelserpentin@mittermann.at,,033546980,Edelsteine,911,Edelstein,,KjxgP
31,Gasthaus Buch,Hauptpl,3,Eberau,7521,,,,http://www.gasthausbuch.at,office@gasthausbuch.at,,033232216,Gasthäuser u Gasthöfe,1352,Gasthaus,,RX9rt
33,Dömötör-Strobl GesmbH,Kreuzwiese,4,Eberau,7521,,25,1900000,http://www.ds-online.at,office@ds-online.at,,033232229,Tischlereien,3951,Tischler,,T1Sg2
35,Herbert Gansfuss,Hauptpl,9,Eberau,7521,,5,400000,http://www.mehlspeis-paradies.at,office@mehlspeis-paradies.com,,033232231,Bäckereien,300,Bäckerei,,VRmS8
63,Allgemeiner Sportverband Österreichs - ASVÖ,Neusiedler Str,54,Eisenstadt,7000,,4,,http://www.asvoe-burgenland.at,office@asvoe-burgenland.at,,0268264824,Sportverbände u -vereine,4649,Sportvereine,,vq1dr
64,Altdorfer Backwaren GmbH & Co KG,Hauptstr,10,Eisenstadt,7000,,40,2000000,http://www.altdorfer.at,office@altdorfer.at,,0268262356,Bäckereien,300,Bäckerei,,1112J
67,Apotheke z Granatapfel d Barmherzigen Brüder,Esterhazystr,26,Eisenstadt,7000,,20,2100000,http://www.bbeisen.at,apotheke@bbeisen.at,,0268262178,Apotheken,127,Apotheke,,39wjT
68,Marien-Apotheke Mag.pharm. Thomas Job KG,Hauptstr,56,Eisenstadt,7000,,22,3000000,http://www.marienapo.at,info@marienapo.at,,,Apotheken,127,Apotheke,,3tbcX
69,Salvator Apotheke Mag Robert Müntz KG,Hauptstr,4 Beim Schloß,Eisenstadt,7000,,16,2450000,http://www.remedia.at,salvatorapotheke@remedia.at,,0268262654,Apotheken,127,Apotheke,,4dFVc
70,ÖAAB Österreichischer Arbeiter- u Angestelltenbund,Ing.-Julius-Raab-Str,7,Eisenstadt,7000,,,,http://www.oeaab-bgld.at,office.oaab@oevp-burgenland.at,,02682799,"Verbände, Vereine u Organisationen",4650,Vereine,,5LtPg
71,"ARBÖ Auto-, Motor- u Radfahrerbund Österreichs",Siegfried-Marcus-Str,4,Eisenstadt,7000,,31,1900000,http://www.arboe.at,bgld@arboe.at,,050123,Pannen- u Prüfdienste,2674,Pannendienste,,65XJk
74,ASKÖ Landesverband Bgld,Ruster Str,8,Eisenstadt,7000,,5,,http://www.askoe-burgenland.at,burgenland@askoe.or.at,,0268266654,Sportverbände u -vereine,4649,Sportvereine,,8GV1v
93,Bausparkasse d österr Sparkassen AG,Kalvarienbergpl,7,Eisenstadt,7000,,,,http://www.sbausparkasse.at,center.eisenstadt@sbausparkasse.co.at,,050100,Bausparkassen,383,Bausparkassa,,Q5s65
